Order Number,Item,Pinyin,Frequency,Definition,Usage,Part_of_Speech,Status
522,杀,sha1,21,To kill or slaughter; to put to death. Can also mean to reduce or weaken in certain contexts.,"Common in words like 杀人 (to kill someone), 杀价 (to bargain down prices), and 自杀 (suicide)",verb,success
523,概,gai4,21,"General, approximate, or rough; often used to indicate a summary or overview of something.",Most commonly seen in compounds like 大概 (probably/approximately) and 概念 (concept),adjective/noun,success
524,母,mu3,21,Mother or female parent; also used as a prefix to indicate 'female' or 'maternal' in compound words.,"Common in words like 母亲 (mother), 父母 (parents), 字母 (letter of alphabet)",noun,success
525,水,shui3,21,"Water; the clear liquid essential for life that falls as rain and fills rivers, lakes, and oceans.","Used in common words like 喝水 (drink water), 水果 (fruit, literally 'water fruit'), and 开水 (boiled water)",noun,success
526,纸,zhi3,21,"Paper, the material used for writing, printing, or wrapping things.","Common in words like 纸张 (paper sheets), 报纸 (newspaper), 卫生纸 (toilet paper)",noun,success
527,跳,tiao4,21,"To jump, leap, or bounce; to skip over something. Also used for actions involving jumping movements like dancing.","Common in words like 跳舞 (tiàowǔ - to dance), 跳高 (tiàogāo - high jump), 心跳 (xīntiào - heartbeat)",verb,success
528,遍,bian4,21,A measure word used to count the number of times an action is completed from beginning to end.,"Common in phrases like 看一遍 (read once through), 再说一遍 (say it again)",measure word,success
529,与,yu3,20,"A formal word meaning 'and' or 'with', used to connect nouns or indicate association between things or people.","More common in written or formal Chinese; in spoken language, 和 (hé) is preferred",conjunction/preposition,success
530,买,mai3,20,To buy or purchase something in exchange for money.,Common in everyday transactions like 买东西 (buy things) or 买票 (buy tickets),verb,success
531,争,zheng1,20,"To fight for, compete for, or strive for something; to argue or dispute over something.","Common in words like 竞争 (compete), 争论 (argue), 争取 (strive for)",verb,success
532,仔,zai3,20,"A suffix meaning 'small thing' or 'young one', commonly used in compound words to indicate something small, young, or a person associated with a particular role or place.","Found in words like 靓仔 (handsome guy), 仔细 (careful/detailed), and 牛仔 (cowboy)",noun suffix,success
533,假,jia3,20,"False, fake, or artificial; also means vacation or holiday (as a noun)","Used in words like 假的 (fake), 放假 (have a holiday), 暑假 (summer vacation)",adjective/noun,success
534,冲,chong1,20,"To rush, charge forward, or dash toward something with force and speed; also means to rinse or flush with water.","Common in words like 冲进 (rush into), 冲水 (flush water), and 冲茶 (make tea by pouring hot water)",verb,success
535,员,yuan2,20,"A suffix meaning 'member', 'personnel', or 'staff member' that is attached to words to indicate a person who performs a specific role or belongs to a group.","Common in compound words like 服务员 (waiter/waitress), 演员 (actor), 职员 (office worker), 会员 (member)",noun suffix,success
536,城,cheng2,20,City or town; can also refer to city walls or fortifications in classical contexts.,"Commonly used in words like 城市 (city), 长城 (Great Wall), and 进城 (to go into town)",noun,success
537,堡,bao3,20,"A fortress, castle, or fortified structure; also commonly used in the word 汉堡 (hànbǎo) meaning hamburger.",Found in place names and compound words like 城堡 (chéngbǎo - castle) and 汉堡包 (hànbǎobāo - hamburger),noun,success
538,少,shao3,20,"Few, little, or less in quantity; not enough or lacking. Used to describe a small amount or insufficient number of something.",Common in phrases like 少一点 (a little less) or 人很少 (very few people). Note: pronounced 'shào' when meaning 'young',adjective,success
539,尾,wei3,20,"Tail or end of something; the rear or final part of an object, animal, or sequence.","Common in words like 尾巴 (tail), 结尾 (ending), and as a measure word for fish",noun,success
540,挥,hui1,20,"To wave, swing, or wield something with a sweeping motion; to scatter or disperse.","Common in words like 挥手 (wave hand), 指挥 (command/direct), and 发挥 (bring into play)",verb,success
541,摄,she4,20,To take (a photograph or video); to absorb or take in. Also means to act on behalf of or to regulate.,Most commonly seen in 摄影 (photography) and 拍摄 (to film/shoot),verb,success
542,整,zheng3,20,"Means 'whole', 'entire', or 'complete'; also used as a verb meaning 'to put in order' or 'to fix/arrange'.","Common in phrases like 整天 (whole day), 整个 (entire/whole), or 整理 (to organize)",adjective/verb,success
543,疑,yi2,20,To doubt or suspect; to have uncertainty or questions about something.,"Common in words like 怀疑 (to suspect), 疑问 (question/doubt), and 可疑 (suspicious)",verb,success
544,胳,ge1,20,"A component character used in words related to the arm or limbs, rarely used alone.","Most commonly seen in 胳膊 (gēbo, arm) and 胳肢窝 (gāzhiwō, armpit)",noun,success
545,膊,bo2,20,"Arm, specifically the upper arm or shoulder area of the body.",Most commonly used in the compound word 胳膊 (gēbo) meaning 'arm',noun,success
546,路,lu4,20,"Road, path, or route; a way to get from one place to another.","Common in words like 马路 (street), 路上 (on the road), and when giving directions",noun,success
547,躺,tang3,20,"To lie down or recline in a horizontal position, typically to rest or sleep.",Common in phrases like 躺在床上 (lie on the bed) or 躺下 (lie down),verb,success
548,量,liang4,20,"Quantity, amount, or volume of something; can also mean to measure or estimate.","Common in words like 数量 (quantity), 质量 (quality), and 重量 (weight)",noun/verb,success
549,险,xian3,20,"Dangerous, risky, or perilous; describes situations or places that pose potential harm or difficulty.",Commonly used in words like 危险 (wēixiǎn - danger) and 保险 (bǎoxiǎn - insurance),adjective,success
550,严,yan2,19,"Strict, stern, or severe; describes rules, discipline, or attitudes that are rigorous and demanding.","Common in words like 严格 (strict), 严重 (serious/severe), and 严厉 (stern)",adjective,success
551,副,fu4,19,"Measure word for pairs or sets of items (like glasses, gloves, or playing cards); also means 'deputy' or 'vice-' when used as a prefix.",Used in phrases like 一副眼镜 (a pair of glasses) or 副总统 (vice president),measure word / noun prefix,success
552,危,wei1,19,"Danger or peril; describes something that is dangerous, risky, or in a precarious state.",Commonly seen in words like 危险 (wēixiǎn - dangerous) and 危机 (wēijī - crisis),adjective,success
553,压,ya1,19,"To press down, push down, or apply pressure on something; can also mean to suppress or control.",Common in words like 压力 (pressure/stress) and 血压 (blood pressure),verb,success
554,够,gou4,19,Enough or sufficient; to reach a certain standard or quantity. Can also mean 'quite' or 'rather' when used as an adverb.,"Common in phrases like 够了 (that's enough), 不够 (not enough), or 够好 (good enough)",adjective/verb,success
555,屋,wu1,19,"A house, room, or building structure with a roof. Refers to an enclosed space where people live or work.","Commonly seen in words like 房屋 (house), 屋子 (room), and 屋顶 (roof)",noun,success
556,慢,man4,19,"Slow; not fast in speed or pace. Can describe movement, actions, or the passage of time.",Common in phrases like 慢慢走 (walk slowly) and 请说慢一点 (please speak more slowly),adjective,success
557,扇,shan4,19,A fan (the handheld object used for cooling); also used as a measure word for doors and windows.,"Common in words like 扇子 (fan), 电扇 (electric fan), or 一扇门 (a door)",noun/measure word,success
558,护,hu4,19,"To protect, guard, or defend someone or something from harm or danger.","Commonly seen in words like 保护 (bǎohù - to protect), 护士 (hùshi - nurse), and 护照 (hùzhào - passport)",verb,success
559,狗,gou3,19,Dog; a common domestic animal kept as a pet or for work purposes.,Used in everyday conversation and compounds like 小狗 (puppy) or 狗肉 (dog meat),noun,success
560,疤,ba1,19,A scar or mark left on the skin after a wound or injury has healed.,"Commonly used in words like 疤痕 (bāhén, scar) and 伤疤 (shāngbā, scar from a wound)",noun,success
561,矮,ai3,19,"Short or low in height, used to describe people, objects, or buildings that are not tall.",Commonly used in comparisons like 矮个子 (short person) or to describe furniture and structures,adjective,success
562,篷,peng2,19,"A covering or canopy made of cloth or other material, such as an awning, tent cover, or boat sail.","Commonly seen in words like 帐篷 (zhàngpeng, tent) and 篷布 (péngbù, tarpaulin)",noun,success
563,连,lian2,19,Means 'even' when used as an adverb to emphasize something unexpected or extreme; also means 'to link' or 'to connect' as a verb.,"Common in phrases like 连...都/也 (even...also), as in 连我都知道 (even I know)",adverb/verb,success
564,俩,lia3,18,Two (people or things); a colloquial way to say 'two' that combines 两 (two) and 个 (measure word).,"Used informally as in 我们俩 (the two of us) or 他俩 (those two). Already includes the measure word, so don't add 个 after it.",numeral,success
565,决,jue2,18,To decide or determine; to make a final judgment or resolution about something.,"Commonly seen in words like 决定 (decide), 决心 (determination), and 解决 (solve/resolve)",verb,success
