Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
447,zhou1,周,26,Week; also means 'around' or 'circumference'. Most commonly used in time expressions to refer to a week or days of the week.,"Found in words like 星期/周末 (weekend), 周一 (Monday), 周围 (surroundings)",noun/measure word,席,周,裤,缓,眉,B
448,mi4,密,26,"Dense, thick, or close together; secret or confidential. Describes things that are tightly packed or information that should be kept private.","Common in words like 秘密 (secret), 密码 (password), 紧密 (tight/close), and 茂密 (dense/thick)",adjective,蒂,搂,密,趴,姑,C
449,jiang1,将,26,A formal or literary word meaning 'will' or 'shall' to indicate future action; also used as a preposition meaning 'to take' or 'to use' to introduce an object that undergoes an action.,"Common in written Chinese and the 将 (bǎ) construction, as in 将来 (future) or 将书放在桌子上 (place the book on the table)",adverb/preposition,贞,逗,湖,索,将,E
450,ying3,影,26,"Shadow or reflection; also commonly used to mean image, picture, or film/movie.","Found in words like 电影 (diànyǐng - movie), 影子 (yǐngzi - shadow), and 摄影 (shèyǐng - photography)",noun,锁,壁,影,翅,隶,C
451,zhi3,止,26,"To stop, halt, or cease; to prevent or prohibit something from continuing.","Common in words like 停止 (to stop), 禁止 (to forbid), and 阻止 (to prevent)",verb,亡,黢,请,言,止,E
452,mu4,穆,26,"Solemn, respectful, or reverent; describes a dignified and serious atmosphere or manner.",Commonly used in formal contexts and frequently appears in Chinese surnames (穆先生),adjective,梦,穆,哈,代,叛,B
453,yi4,翼,26,"Wing, as in the wing of a bird or airplane; can also mean flank or side in formal contexts.","Commonly seen in words like 机翼 (airplane wing), 左翼 (left wing), and 羽翼 (wings/feathers)",noun,和,噗,卷,翼,领,D
454,tui3,腿,26,Leg; the limb used for standing and walking in humans and animals.,"Used for both human legs (人的腿) and animal legs (动物的腿), as well as the legs of furniture like tables and chairs",noun,坪,拖,也,奖,腿,E
455,ying1,英,26,"Means 'hero' or 'outstanding/brilliant'; most commonly used as a short form for England/English (英国, 英语).","Frequently seen in 英国 (England/UK), 英语 (English language), and 英雄 (hero)",noun/adjective,英,知,尸,悦,端,A
456,xue4,血,26,"Blood; the red liquid that flows through the body. Can also refer to bloodline, descent, or family relations.",Common in medical contexts (献血 donate blood) and expressions about family ties (血缘 blood relation),noun,伙,血,身,惧,探,B
457,jiao3,角,26,A corner or angle; also a unit of Chinese currency equal to one-tenth of a yuan (similar to a dime).,"Used in geometry (角度 'angle'), locations (角落 'corner'), and money (一角 'one jiao')",noun,求,角,廷,脸,择,B
458,gan3,赶,26,"To rush, hurry, or catch up with something or someone; also means to drive (animals) or to be in time for something.","Common in phrases like 赶时间 (rush for time), 赶车 (catch a bus/train), 赶快 (hurry up)",verb,笑,晕,短,维,赶,E
459,dui4,队,26,"A team, group, or organized unit of people working together. Also used as a measure word for groups or lines of people.","Common in words like 球队 (sports team), 队伍 (队wǔ, team/troops), and 排队 (páiduì, to line up)",noun,具,若,室,沿,队,E
460,zhu3,主,25,"Main, primary, or principal; also means host, owner, or master. Used to indicate the primary or most important element of something.","Common in words like 主人 (host/owner), 主要 (main/primary), and 主席 (chairman)",noun/adjective,烛,主,蹿,授,承,B
461,lu2,卢,25,"A common Chinese surname (Lu). In classical Chinese, it also referred to a type of black color or a vessel.","Primarily used as a family name in modern Chinese, as in 卢浮宫 (Louvre Museum)",proper noun,盆,卢,更,亚,螺,B
462,shou4,受,25,"To receive, accept, or endure something; often used to indicate experiencing or suffering something (positive or negative).","Common in words like 接受 (to accept), 受伤 (to be injured), 感受 (to feel/experience)",verb,哐,转,千,社,受,E
463,dui1,堆,25,"A pile, heap, or stack of things; can also be used as a verb meaning to pile up or heap together.","Common as a measure word for piles of objects, like 一堆书 (a pile of books) or 堆雪人 (to build a snowman)",noun/verb,明,奖,堆,绵,战,C
464,hai2,孩,25,Child or young person. This character is rarely used alone and typically appears in compound words.,"Most commonly seen in 孩子 (háizi, child) and 小孩 (xiǎohái, small child/kid)",noun,肚,孩,使,弥,硬,B
465,an1,安,25,"Peaceful, calm, or safe; also means to install or settle. As an adjective, it describes a state of tranquility or security.","Common in words like 安全 (safety), 安静 (quiet), and 平安 (peace)",adjective/verb,集,安,蘸,拽,相,B
466,bang1,帮,25,To help or assist someone with something. Can also mean a group or gang of people.,"Very common in everyday speech, as in 帮我 (help me) or 帮忙 (to help/lend a hand)",verb/noun,谢,帮,沫,空,圈,B
467,yao2,摇,25,"To shake, sway, or rock back and forth. Can refer to physical movement of objects or body parts.","Common in words like 摇头 (shake one's head), 摇晃 (sway/rock), and 摇篮 (cradle)",verb,犹,摇,探,脚,遭,B
468,huo2,活,25,"To live, to be alive; living or alive (as an adjective). Also means lively, flexible, or movable.","Common in words like 生活 (life/to live), 活动 (activity), and 活着 (to be alive)",verb/adjective,秀,示,吗,颊,活,E
469,ban1,班,25,"A class, team, or group of people organized together; also refers to a scheduled shift or regular transport service.","Common in contexts like 上班 (go to work), 班级 (class at school), 飞机班次 (flight schedule)",noun,齿,缠,其,班,软,D
470,xing2,行,25,"Okay, alright, or acceptable; indicates that something will work or is permissible. Also means a row, line, or profession/trade.",Commonly used in spoken Chinese to express agreement (行！= OK!) or to ask if something is acceptable (行吗？= Is that okay?),verb/adjective/noun,蘸,嗅,行,级,仆,C
471,jing4,镜,25,Mirror or lens; a reflective surface used to see one's reflection or an optical device that focuses light.,"Common in words like 镜子 (mirror), 眼镜 (eyeglasses), and 照镜子 (to look in a mirror)",noun,镜,愚,满,躁,倦,A
472,yang3,养,24,"To raise, keep, or support (animals, children, or plants); to nourish or cultivate.","Common in words like 养狗 (raise a dog), 养孩子 (raise children), 营养 (nutrition)",verb,涂,凳,颗,钟,养,E
473,ting1,厅,24,A hall or large room in a building; also used to refer to certain government departments or offices.,"Common in words like 餐厅 (restaurant/dining hall), 客厅 (living room), and 办公厅 (general office)",noun,九,静,厅,召,组,C
474,ming4,命,24,"Life, fate, or destiny; also means to command or order. Most commonly refers to one's life span or predetermined fate in Chinese culture.","Found in words like 生命 (life), 命运 (fate/destiny), and 命令 (command/order)",noun/verb,顶,冠,吵,命,谢,D
475,zhou4,咒,24,A curse or spell; to curse or put a hex on someone. Can also refer to incantations or magic formulas used in religious or mystical contexts.,"Common in words like 诅咒 (curse), 咒语 (incantation/spell), 念咒 (chant a spell)",noun/verb,嗦,咒,叨,丑,呼,B
476,wei2,围,24,"To surround, encircle, or enclose something; to gather around.","Common in words like 周围 (zhōuwéi - surroundings), 围巾 (wéijīn - scarf, literally 'surround cloth'), and 包围 (bāowéi - to surround)",verb,围,唤,奥,卫,强,A
477,cha4,差,24,"Poor, inferior, or not good enough; also means to lack or fall short of a certain amount or standard.","Common in expressions like 差不多 (almost, about the same) or 很差 (very poor/bad)",adjective/verb,央,宾,奥,男,差,E
478,nong4,弄,24,"To do, make, or handle something; to play with or fiddle with something. Often used colloquially to mean 'to get/obtain' or 'to cause/make happen'.","Common in everyday speech like 弄坏了 (broke it), 弄错了 (got it wrong), 你在弄什么? (What are you doing?)",verb,态,弄,币,展,英,B
479,bi4,必,24,"Must, have to, or certainly; expresses necessity, obligation, or inevitability.","Commonly used in words like 必须 (must), 必要 (necessary), and 必然 (inevitable)",adverb,必,彼,养,态,搭,A
480,e4,恶,24,"Evil, bad, or wicked; refers to something morally wrong or harmful. Can also mean fierce or ferocious.","Common in words like 恶人 (evil person), 罪恶 (sin/crime), 凶恶 (fierce)",adjective/noun,戏,包,滋,惹,恶,E
481,mao2,毛,24,Hair or fur on the body of humans or animals; also refers to feathers on birds. Additionally used as a unit of currency meaning one-tenth of a yuan (10 cents).,"Common in words like 毛衣 (sweater, literally 'wool clothing') and 羽毛 (feather)",noun,窝,披,日,毛,措,D
482,jie4,界,24,"Boundary, border, or realm; commonly used to refer to different fields, circles, or worlds of activity.","Frequently appears in compounds like 世界 (world), 界限 (boundary), 科学界 (scientific community), 各界 (all walks of life)",noun,蔑,概,挺,界,村,D
483,xiang1,箱,24,"A box, case, chest, or trunk used for storing or transporting items. Commonly refers to containers like suitcases, crates, or compartments.","Found in words like 箱子 (xiāngzi - box), 冰箱 (bīngxiāng - refrigerator), 邮箱 (yóuxiāng - mailbox)",noun,箱,散,挥,逛,泪,A
484,lei2,雷,24,Thunder or thunderstorm; the loud sound produced during a storm when lightning occurs.,Common in weather-related expressions like 打雷 (thunder strikes) and compound words like 雷雨 (thunderstorm),noun,雷,扇,丰,爪,枚,A
485,chan4,颤,24,"To tremble, shake, or shiver, typically due to cold, fear, or emotion.",Commonly used in words like 颤抖 (chàndǒu - to shiver/tremble) and 发颤 (fāchàn - to shake),verb,私,睁,颤,凄,歪,C
486,mai4,麦,24,"Wheat or general grain crops; refers to cereal plants, especially wheat and barley.","Common in words like 小麦 (wheat), 麦片 (oatmeal), and 麦当劳 (McDonald's)",noun,吩,滴,爱,绳,麦,E
487,qiao2,乔,23,Tall or lofty; also means to disguise or pretend. Most commonly encountered as a surname (Qiao) or in compound words.,Frequently used in names like 乔木 (tall tree) or the surname 乔,adjective/verb,乔,增,爪,挂,荧,A
488,xie3,写,23,"To write or compose text, characters, or other written content. Can refer to writing by hand, typing, or creating written works like letters, essays, or books.","Common in phrases like 写字 (write characters), 写信 (write a letter), 写作业 (do homework/write assignments)",verb,詹,监,写,律,弟,C
489,bao1,包,23,"To wrap or包age something; also means a bag, bundle, or包aged item. As a verb, it can mean to包ver, surround, or include everything.","Common in words like 书包 (schoolbag), 包子 (steamed bun), and 包括 (to include)",noun/verb,击,抛,包,蹬,窝,C
490,ka3,卡,23,"To get stuck or wedged in something; also means 'card' (like credit card, ID card). As a verb, it describes something being jammed or blocked in a tight space.","Common in 卡住 (stuck), 信用卡 (credit card), 卡片 (card)",verb/noun,牙,绕,闹,卡,斜,D
491,can1,参,23,To participate in or take part in an activity or event; to join or attend.,Commonly used in words like 参加 (cānjiā - to participate) and 参观 (cānguān - to visit/tour),verb,骷,尺,参,腕,汁,C
492,tu2,图,23,"Picture, diagram, map, or chart; any visual representation or illustration. Also means to plan or seek something.","Common in words like 地图 (map), 图书馆 (library), 图片 (picture/image)",noun/verb,仪,答,灾,蒙,图,E
493,ji2,急,23,"Urgent, anxious, or in a hurry; describes situations requiring immediate attention or a state of worry and impatience.","Common in phrases like 着急 (worried/anxious), 急事 (urgent matter), 紧急 (emergency)",adjective/verb,国,倾,瘸,裂,急,E
494,bo1,波,23,"Wave or ripple, referring to the undulating movement of water or similar motion. Also used metaphorically for waves of events, trends, or influences.","Common in words like 波浪 (waves), 风波 (disturbance), and 波动 (fluctuation)",noun,超,凯,符,股,波,E
